                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7654,                 3.5735,                 1.4039,                0.45934,                0.22653,                0.23719,                0.12628,                    nan,                    nan,                    nan,                0.07016,              0.0033156,              0.0033156
                      2,                 1.8777,                  2.628,                 1.5377,                0.44905,                0.39606,                0.33392,                0.19598,                    nan,                    nan,                    nan,               0.040127,               0.006616,               0.006616
                      3,                 1.8371,                 2.5918,                 1.5689,                0.45939,                0.47856,                0.41043,                0.20842,                    nan,                    nan,                    nan,               0.010061,              0.0098834,              0.0098834
                      4,                 1.7297,                 2.2591,                 1.5109,                0.57845,                0.51278,                0.52387,                0.33825,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6402,                 2.0174,                  1.439,                0.67626,                0.53954,                0.66684,                0.42084,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.532,                 1.8037,                 1.3512,                0.76771,                 0.5726,                 0.6971,                0.46806,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      7,                 1.4324,                 1.6446,                 1.3181,                0.65294,                0.65429,                0.69167,                0.43643,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5149,                 1.6801,                 1.3557,                0.83096,                0.55174,                0.68917,                0.46686,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      9,                 1.3907,                 1.6623,                 1.2808,                0.78342,                0.56957,                0.70236,                0.50474,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.359,                 1.5292,                 1.2567,                0.79518,                0.65918,                0.76603,                0.52436,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     11,                 1.2819,                 1.3966,                 1.2382,                0.81765,                0.68597,                0.79929,                0.57068,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
