                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5136,                  3.484,                 1.0769,                0.04916,                0.01884,                0.03143,                 0.0197,                    nan,                    nan,                    nan,                0.06728,             0.00033051,             0.00033051
                      2,                 1.3146,                 1.9463,                 1.0069,                0.13678,                0.01084,                0.01705,                0.01157,                    nan,                    nan,                    nan,               0.034276,             0.00066056,             0.00066056
                      3,                 1.2242,                 1.5752,                 1.0135,                0.66764,                0.01083,                0.01581,                0.00999,                    nan,                    nan,                    nan,              0.0012698,              0.0009873,              0.0009873
                      4,                 1.1569,                 1.3251,                 1.0241,                0.39006,                0.01084,                 0.0204,                0.01438,                    nan,                    nan,                    nan,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.1329,                 1.2948,                0.99326,                0.30873,                0.01713,                0.01668,                0.01147,                    nan,                    nan,                    nan,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.1095,                 1.1691,                0.99476,                0.23297,                0.01884,                0.02601,                 0.0159,                    nan,                    nan,                    nan,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.1093,                 1.0954,                 0.9709,                0.45217,                0.01884,                0.02754,                0.01639,                    nan,                    nan,                    nan,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.0432,                 1.0138,                0.95922,                0.38127,                0.01656,                0.02391,                0.01707,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.0078,                0.98135,                0.94792,                0.35543,                0.02096,                0.02881,                0.01729,                    nan,                    nan,                    nan,             0.00096535,             0.00096535,             0.00096535
                     10,                0.97445,                0.90824,                0.94351,                0.78225,                0.02093,                0.02981,                0.02048,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                     11,                0.96545,                0.87538,                 0.9527,                0.34562,                0.02706,                0.02953,                0.02073,                    nan,                    nan,                    nan,             0.00095545,             0.00095545,             0.00095545
                     12,                0.92789,                0.87283,                0.92698,                0.66961,                0.02684,                0.03959,                0.02467,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                     13,                0.96037,                0.84647,                0.92246,                0.40548,                 0.0248,                0.03551,                0.02483,                    nan,                    nan,                    nan,             0.00094555,             0.00094555,             0.00094555
                     14,                0.92211,                0.84022,                 0.9243,                0.57624,                0.02096,                 0.0299,                0.02054,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                     15,                0.92295,                 0.8222,                0.93643,                0.59136,                0.02896,                0.04457,                0.02818,                    nan,                    nan,                    nan,             0.00093565,             0.00093565,             0.00093565
                     16,                 0.9403,                0.80009,                0.93429,                0.61603,                0.02096,                0.03449,                0.02428,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     17,                0.95484,                0.80999,                0.92773,                0.53754,                0.01296,                0.03157,                0.01825,                    nan,                    nan,                    nan,             0.00092575,             0.00092575,             0.00092575
                     18,                0.89098,                0.77417,                0.91114,                0.71646,                0.02054,                0.03404,                0.02291,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     19,                0.91835,                0.76417,                0.90959,                0.66143,                0.02096,                0.04773,                0.03617,                    nan,                    nan,                    nan,             0.00091585,             0.00091585,             0.00091585
                     20,                0.89173,                0.74837,                0.91482,                0.59672,                0.01884,                0.04498,                 0.0329,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     21,                 0.8622,                0.73293,                0.89388,                0.34751,                0.02096,                0.03194,                0.02164,                    nan,                    nan,                    nan,             0.00090595,             0.00090595,             0.00090595
                     22,                 0.8559,                0.73288,                 0.8982,                 0.3966,                0.01884,                0.02514,                 0.0189,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     23,                0.84622,                0.73195,                 0.9093,                0.62261,                0.02684,                0.03877,                0.02744,                    nan,                    nan,                    nan,             0.00089605,             0.00089605,             0.00089605
                     24,                0.86382,                 0.7288,                0.90653,                0.24555,                0.02896,                0.05599,                0.03864,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     25,                0.83683,                0.69651,                0.89134,                0.61186,                0.02096,                0.03431,                 0.0266,                    nan,                    nan,                    nan,             0.00088615,             0.00088615,             0.00088615
                      1,                 1.8272,                 3.1301,                  1.312,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070254,              0.0033051,              0.0033051
                      1,                 1.7804,                 3.1678,                 1.2509,                0.07484,                0.22831,                0.05072,                0.02049,                    nan,                    nan,                    nan,               0.070286,              0.0033016,              0.0033016
                      2,                 1.8999,                 2.2978,                 1.3262,                0.55387,                0.33596,                0.35641,                0.21103,                    nan,                    nan,                    nan,               0.040253,              0.0066021,              0.0066021
                      3,                 1.8792,                  2.194,                 1.3402,                0.33087,                0.34631,                0.29673,                0.17776,                    nan,                    nan,                    nan,               0.010187,              0.0098696,              0.0098696
                      4,                 1.6631,                 1.8386,                 1.2386,                0.69144,                0.47451,                0.56407,                0.36166,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.601,                 1.6832,                 1.2147,                0.76611,                0.53019,                0.65395,                0.37295,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5571,                 1.5722,                 1.1832,                0.80803,                0.54306,                0.62431,                0.44671,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      7,                 1.4139,                  1.469,                 1.1224,                0.82423,                0.57267,                 0.7065,                0.47358,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.435,                 1.4432,                 1.1284,                0.86945,                0.59051,                0.67662,                0.45909,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      9,                 1.4309,                 1.4745,                 1.1268,                0.82688,                0.58326,                0.70451,                0.47639,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3242,                 1.3346,                 1.0838,                0.88796,                0.55943,                0.73744,                0.52642,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     11,                 1.2788,                  1.253,                 1.0868,                0.85163,                 0.6468,                0.75326,                0.52947,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3258,                 1.2281,                 1.0778,                0.85177,                0.59279,                0.72004,                0.47369,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     13,                 1.2284,                 1.1522,                 1.0413,                0.91066,                  0.626,                0.78179,                0.55193,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2147,                 1.1069,                 1.0449,                0.91008,                0.66052,                0.78604,                0.55341,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     15,                 1.1888,                 1.0857,                 1.0492,                0.88974,                0.66908,                0.78067,                0.55033,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1825,                 1.0932,                 1.0329,                0.85312,                0.59326,                0.74741,                0.54522,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     17,                 1.1819,                  1.122,                 1.0324,                0.85894,                 0.6821,                0.76337,                0.56307,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1215,                 1.0461,                 1.0083,                0.92832,                0.67272,                0.80448,                 0.6135,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     19,                 1.1022,                0.97145,                 1.0056,                0.88399,                0.71309,                0.79879,                0.60832,                    nan,                    nan,                    nan,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0957,                0.97242,                 1.0126,                0.86631,                0.76088,                0.83039,                0.61783,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     21,                 1.1029,                0.96466,                 1.0044,                0.86555,                0.70801,                0.80504,                0.60256,                    nan,                    nan,                    nan,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0998,                0.98325,                 1.0087,                0.93275,                0.70518,                0.82303,                0.62697,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     23,                 1.0528,                0.93319,                0.99246,                0.89025,                 0.7481,                0.82137,                 0.6081,                    nan,                    nan,                    nan,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0666,                0.91527,                0.99636,                0.91495,                0.69462,                0.80856,                0.62436,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     25,                 1.0184,                0.88538,                0.97382,                0.90307,                0.71144,                0.84159,                0.64599,                    nan,                    nan,                    nan,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0597,                0.91173,                0.98877,                0.91058,                0.66666,                0.80889,                0.60012,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     27,                 1.0299,                0.90337,                0.97943,                0.96221,                0.71901,                0.83043,                0.63459,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0197,                0.89877,                0.97676,                0.92107,                0.69442,                0.81447,                0.63436,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     29,                 1.0003,                0.87934,                0.97278,                0.92693,                0.75295,                0.83747,                0.64868,                    nan,                    nan,                    nan,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0231,                0.85357,                0.99181,                0.91973,                0.69474,                0.82755,                0.65279,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     31,                      1,                0.86237,                0.97426,                0.91353,                0.74992,                0.82015,                0.63495,                    nan,                    nan,                    nan,              0.0085645,              0.0085645,              0.0085645
                     32,                 0.9858,                0.85847,                0.95624,                0.88285,                0.72912,                0.84402,                0.66069,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     33,                0.99275,                0.88249,                0.98655,                0.95625,                0.74265,                0.84428,                0.66071,                    nan,                    nan,                    nan,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0246,                0.86951,                0.98206,                0.85612,                0.74395,                0.83967,                0.65529,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     35,                0.97471,                0.82158,                0.96835,                0.95854,                0.72711,                0.84135,                0.66084,                    nan,                    nan,                    nan,              0.0083665,              0.0083665,              0.0083665
                     36,                0.98449,                 0.7858,                0.96584,                0.88379,                0.79096,                0.86719,                0.67448,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     37,                0.98983,                0.79418,                0.96364,                0.90456,                0.74928,                0.85655,                0.66332,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                0.97551,                0.79426,                 0.9633,                0.91799,                0.75022,                0.84958,                0.64011,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                0.98042,                0.78319,                0.96406,                0.93449,                0.76828,                 0.8598,                0.65977,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                0.96071,                0.80367,                0.96621,                 0.8459,                0.77407,                0.84136,                0.66756,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                0.94032,                 0.7597,                0.94807,                0.95324,                0.73763,                0.85592,                0.64663,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     42,                  0.973,                0.78996,                0.96394,                0.92528,                0.77063,                0.86368,                0.66745,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.91848,                0.74487,                0.95778,                0.93789,                0.79793,                0.86958,                0.68486,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
